Census Tract - 2010 Census,US Postal State Code,County - 2010 Census,2010 Census Tract - Percent Minority,Tract Income Ratio,Num Low Income Mortgages 2012,Num Low Income Mortgages 2013,Num Low Income Mortgages 2014,Num Low Income Mortgages 2015,Num Low Income Mortgages 2016,Num Low Income Mortgages 2017,Num Low Income Mortgages 2018,Num Low Income Mortgages 2019
8211,6,67,15.186346220829,116.61746685975301,61,53.0,25.0,31.0,47.0,23.0,14.0,31.0
8301,6,19,97.6623810318918,47.9103735709096,9,16.0,7.0,8.0,11.0,17.0,7.0,9.0
8302,6,19,97.1502590673575,46.5376821014798,14,21.0,10.0,7.0,7.0,23.0,15.0,20.0
8401,6,19,91.840820923539,62.375253317019094,29,35.0,24.0,26.0,32.0,40.0,30.0,25.0
8402,6,67,21.6893732970027,126.460677286399,136,140.0,100.0,95.0,123.0,70.0,52.0,67.0
8403,6,67,30.3659931376287,136.423638186477,99,105.0,82.0,59.0,85.0,50.0,38.0,48.0
8404,6,67,25.7709923664122,75.1601314470313,54,60.0,40.0,42.0,41.0,32.0,25.0,35.0
8501,6,67,24.6307000642261,176.377130444469,177,215.0,107.0,133.0,148.0,78.0,68.0,79.0
8502,6,19,98.4613444318325,80.7230528046496,21,33.0,27.0,19.0,21.0,23.0,21.0,19.0
8504,6,67,29.7916666666667,162.197838921689,108,108.0,52.0,60.0,58.0,50.0,31.0,40.0
8505,6,67,27.3101555352242,170.641639746018,34,45.0,21.0,9.0,27.0,14.0,10.0,15.0
8506,6,67,39.5238095238095,94.448312353793,1,7.0,1.0,5.0,5.0,0.0,0.0,0.0
8507,6,67,33.1705994033089,116.96557870112501,99,114.0,41.0,58.0,70.0,38.0,25.0,49.0
8508,6,67,37.4798534798535,154.625710148156,149,146.0,84.0,103.0,112.0,38.0,22.0,47.0
8509,6,67,33.3050307790278,175.6697671828,117,94.0,45.0,49.0,40.0,15.0,17.0,27.0
8510,6,67,26.5598650927487,173.402862871783,95,85.0,36.0,59.0,48.0,26.0,27.0,26.0
8512,6,67,33.5951819848128,192.80104712041899,94,71.0,33.0,52.0,56.0,25.0,14.0,34.0
8513,6,67,43.7880415324024,206.73944524897001,71,68.0,55.0,59.0,78.0,41.0,27.0,38.0
8600,6,67,19.5754716981132,168.502840592626,154,165.0,67.0,102.0,116.0,78.0,52.0,78.0
8702,6,67,23.0369889682025,196.683190375404,76,51.0,17.0,36.0,30.0,23.0,20.0,20.0
8703,6,67,34.9755700325733,149.973543500056,127,131.0,50.0,56.0,65.0,37.0,34.0,43.0
8704,6,67,59.5171773444754,130.356745015038,79,75.0,47.0,61.0,66.0,35.0,21.0,44.0
8705,6,67,54.8100977939504,136.083881029297,152,194.0,127.0,181.0,205.0,162.0,95.0,142.0
8801,6,67,52.2768259693417,115.360086888716,102,101.0,60.0,69.0,82.0,71.0,49.0,61.0
8905,6,67,40.799820265109,59.034198507296395,76,70.0,47.0,48.0,65.0,56.0,43.0,54.0
8907,6,67,44.8603929679421,58.5649437451264,62,68.0,30.0,52.0,63.0,67.0,45.0,68.0
8908,6,67,40.1447776628749,72.7414503731759,66,66.0,41.0,41.0,54.0,44.0,38.0,53.0
8909,6,67,49.6607294317218,130.97777654004702,30,31.0,21.0,30.0,28.0,31.0,10.0,35.0
8910,6,67,39.6729776247849,75.09329397348779,38,57.0,35.0,55.0,68.0,65.0,40.0,46.0
8911,6,67,62.5272331154684,52.4103263896625,12,17.0,9.0,10.0,16.0,17.0,10.0,17.0
8912,6,67,33.258064516129,120.460621588504,76,88.0,57.0,68.0,61.0,51.0,59.0,53.0
8913,6,67,29.4089264173703,79.0213879915339,53,84.0,53.0,46.0,57.0,63.0,56.0,56.0
9004,6,67,49.3295513151109,98.22741450373181,67,64.0,39.0,53.0,69.0,65.0,39.0,61.0
9005,6,67,46.3823064770932,78.20959117745349,26,38.0,19.0,39.0,27.0,37.0,25.0,25.0
9006,6,67,49.5141700404858,47.9990531357915,36,46.0,18.0,38.0,33.0,39.0,27.0,34.0
9007,6,67,63.9105748757984,52.113735100813194,16,16.0,4.0,13.0,13.0,14.0,17.0,13.0
9008,6,67,49.2694805194805,58.8100144814526,47,74.0,38.0,52.0,48.0,57.0,46.0,52.0
9010,6,67,58.3230579531443,54.7259663584716,45,52.0,49.0,53.0,57.0,28.0,28.0,51.0
9011,6,67,47.0484359233098,108.495321376852,128,110.0,84.0,112.0,117.0,103.0,66.0,73.0
9103,6,67,48.0400572246066,85.0646095577587,54,61.0,36.0,55.0,42.0,60.0,26.0,39.0
9105,6,67,47.9143595422665,52.2460176005347,50,49.0,40.0,41.0,47.0,50.0,38.0,46.0
9106,6,67,34.1539946898383,91.48379191266571,66,85.0,37.0,51.0,70.0,76.0,37.0,42.0
9107,6,67,36.7258014316838,102.05942965355901,71,68.0,52.0,57.0,54.0,66.0,38.0,61.0
9108,6,67,41.1860276198213,81.5709591177453,54,89.0,47.0,68.0,80.0,59.0,59.0,80.0
9109,6,67,41.7596034696406,112.02239055363701,115,129.0,68.0,80.0,109.0,92.0,68.0,75.0
9110,6,67,72.4021592442645,36.6603542386098,0,5.0,6.0,5.0,4.0,9.0,15.0,21.0
9111,6,67,53.4392489619065,85.3918346886488,96,83.0,68.0,65.0,85.0,71.0,63.0,64.0
9112,6,67,50.0826446280992,96.9004121644202,80,58.0,38.0,48.0,65.0,66.0,52.0,66.0
9201,6,67,48.6698648059311,85.1718280049014,17,53.0,85.0,70.0,61.0,72.0,80.0,87.0
9307,6,67,40.2404121350887,126.626378522892,94,97.0,64.0,62.0,85.0,52.0,41.0,53.0
9308,6,67,38.2791777188329,85.74273142475211,103,126.0,91.0,96.0,130.0,77.0,72.0,107.0
9309,6,67,25.3286590709904,113.136348446029,51,56.0,31.0,43.0,49.0,40.0,25.0,22.0
9310,6,67,35.2428571428571,118.79386209201299,127,146.0,109.0,127.0,120.0,94.0,80.0,112.0
9311,6,67,62.5565787420009,117.781552857302,172,208.0,90.0,111.0,148.0,87.0,77.0,111.0
9312,6,67,67.7123182861515,104.366714938175,158,161.0,140.0,145.0,192.0,119.0,97.0,121.0
9314,6,67,66.9706180344478,121.723571349003,103,122.0,80.0,69.0,85.0,61.0,50.0,62.0
9316,6,67,78.0238870792617,90.645538598641,89,82.0,65.0,66.0,86.0,49.0,54.0,73.0
